accuracy,macro_f1,weighted_f1,test_load,seed,model,condition,fit_time_s
0.9962121212121212,0.9962116320117095,0.9962116320117095,333,302,rf,electrical_missing,7.531475699972361
0.9962121212121212,0.9962213626314566,0.9962213626314564,333,302,rf,vibration_gain_075,7.531475699972361
0.9962121212121212,0.9962213626314566,0.9962213626314564,333,302,rf,vibration_gain_050,7.531475699972361
0.8434343434343434,0.8148567158066292,0.8148567158066292,333,302,rf,vibration_gain_025,7.531475699972361
0.9974747474747475,0.9974746025368767,0.9974746025368766,333,302,rf,electrical_gain_075,7.531475699972361
0.9974747474747475,0.9974746025368767,0.9974746025368766,333,302,rf,electrical_gain_050,7.531475699972361
0.9949494949494949,0.9949483352468427,0.9949483352468428,333,302,rf,electrical_gain_025,7.531475699972361
0.9974747474747475,0.9974746025368767,0.9974746025368766,333,302,rf,vibration_drift_025rms,7.531475699972361
0.9974747474747475,0.9974746025368767,0.9974746025368766,333,302,rf,vibration_drift_050rms,7.531475699972361
0.9974747474747475,0.9974746025368767,0.9974746025368766,333,302,rf,vibration_drift_100rms,7.531475699972361
0.9974747474747475,0.9974746025368767,0.9974746025368766,333,302,rf,electrical_drift_025rms,7.531475699972361
0.9962121212121212,0.9962116320117095,0.9962116320117095,333,302,rf,electrical_drift_050rms,7.531475699972361
0.9974747474747475,0.9974747112418393,0.9974747112418395,333,302,rf,electrical_drift_100rms,7.531475699972361
0.9974747474747475,0.9974746025368767,0.9974746025368766,333,302,extra_trees,clean_reextract,1.3182774999877438
0.8282828282828283,0.8243661849401757,0.8243661849401757,333,302,extra_trees,vibration_missing,1.3182774999877438
0.9962121212121212,0.9962116320117095,0.9962116320117095,333,302,extra_trees,electrical_missing,1.3182774999877438
0.9974747474747475,0.9974746025368767,0.9974746025368766,333,302,extra_trees,vibration_gain_075,1.3182774999877438
0.9962121212121212,0.9962213626314566,0.9962213626314564,333,302,extra_trees,vibration_gain_050,1.3182774999877438
0.9734848484848485,0.9735218635465436,0.9735218635465436,333,302,extra_trees,vibration_gain_025,1.3182774999877438
0.9987373737373737,0.9987373556209196,0.9987373556209198,333,302,extra_trees,electrical_gain_075,1.3182774999877438
0.9974747474747475,0.9974746025368767,0.9974746025368766,333,302,extra_trees,electrical_gain_050,1.3182774999877438
0.9974747474747475,0.9974746025368767,0.9974746025368766,333,302,extra_trees,electrical_gain_025,1.3182774999877438
0.9974747474747475,0.9974746025368767,0.9974746025368766,333,302,extra_trees,vibration_drift_025rms,1.3182774999877438
0.9974747474747475,0.9974746025368767,0.9974746025368766,333,302,extra_trees,vibration_drift_050rms,1.3182774999877438
0.9987373737373737,0.9987373556209196,0.9987373556209198,333,302,extra_trees,vibration_drift_100rms,1.3182774999877438
0.9987373737373737,0.9987373556209196,0.9987373556209198,333,302,extra_trees,electrical_drift_025rms,1.3182774999877438
0.9949494949494949,0.9949483352468427,0.9949483352468428,333,302,extra_trees,electrical_drift_050rms,1.3182774999877438
0.9949494949494949,0.9949483352468427,0.9949483352468428,333,302,extra_trees,electrical_drift_100rms,1.3182774999877438
1.0,1.0,1.0,333,302,hist_gb,clean_reextract,6.794740200042725
0.8838383838383839,0.8825857925452899,0.8825857925452897,333,302,hist_gb,vibration_missing,6.794740200042725
0.9987373737373737,0.9987373556209196,0.9987373556209197,333,302,hist_gb,electrical_missing,6.794740200042725
1.0,1.0,1.0,333,302,hist_gb,vibration_gain_075,6.794740200042725
1.0,1.0,1.0,333,302,hist_gb,vibration_gain_050,6.794740200042725
0.9911616161616161,0.9911553979353024,0.9911553979353023,333,302,hist_gb,vibration_gain_025,6.794740200042725
0.9987373737373737,0.9987373556209196,0.9987373556209197,333,302,hist_gb,electrical_gain_075,6.794740200042725
0.9987373737373737,0.9987373556209196,0.9987373556209197,333,302,hist_gb,electrical_gain_050,6.794740200042725
0.9987373737373737,0.9987373556209196,0.9987373556209197,333,302,hist_gb,electrical_gain_025,6.794740200042725
1.0,1.0,1.0,333,302,hist_gb,vibration_drift_025rms,6.794740200042725
1.0,1.0,1.0,333,302,hist_gb,vibration_drift_050rms,6.794740200042725
1.0,1.0,1.0,333,302,hist_gb,vibration_drift_100rms,6.794740200042725
1.0,1.0,1.0,333,302,hist_gb,electrical_drift_025rms,6.794740200042725
1.0,1.0,1.0,333,302,hist_gb,electrical_drift_050rms,6.794740200042725
1.0,1.0,1.0,333,302,hist_gb,electrical_drift_100rms,6.794740200042725
1.0,1.0,1.0,333,302,xgboost,clean_reextract,5.456950100022368
0.8825757575757576,0.8816356756670202,0.8816356756670201,333,302,xgboost,vibration_missing,5.456950100022368
1.0,1.0,1.0,333,302,xgboost,electrical_missing,5.456950100022368
1.0,1.0,1.0,333,302,xgboost,vibration_gain_075,5.456950100022368
1.0,1.0,1.0,333,302,xgboost,vibration_gain_050,5.456950100022368
0.9987373737373737,0.9987373556209196,0.9987373556209198,333,302,xgboost,vibration_gain_025,5.456950100022368
1.0,1.0,1.0,333,302,xgboost,electrical_gain_075,5.456950100022368
1.0,1.0,1.0,333,302,xgboost,electrical_gain_050,5.456950100022368
1.0,1.0,1.0,333,302,xgboost,electrical_gain_025,5.456950100022368
1.0,1.0,1.0,333,302,xgboost,vibration_drift_025rms,5.456950100022368
1.0,1.0,1.0,333,302,xgboost,vibration_drift_050rms,5.456950100022368
1.0,1.0,1.0,333,302,xgboost,vibration_drift_100rms,5.456950100022368
1.0,1.0,1.0,333,302,xgboost,electrical_drift_025rms,5.456950100022368
1.0,1.0,1.0,333,302,xgboost,electrical_drift_050rms,5.456950100022368
0.9949494949494949,0.9949483352468427,0.9949483352468428,333,302,xgboost,electrical_drift_100rms,5.456950100022368
1.0,1.0,1.0,333,303,lr,clean_reextract,0.11805729998741299
0.9494949494949495,0.949368190727314,0.9493681907273139,333,303,lr,vibration_missing,0.11805729998741299
0.9444444444444444,0.9436695348809048,0.9436695348809048,333,303,lr,electrical_missing,0.11805729998741299
1.0,1.0,1.0,333,303,lr,vibration_gain_075,0.11805729998741299
0.9974747474747475,0.9974698737337366,0.9974698737337367,333,303,lr,vibration_gain_050,0.11805729998741299
0.9570707070707071,0.9566682890539607,0.9566682890539607,333,303,lr,vibration_gain_025,0.11805729998741299
1.0,1.0,1.0,333,303,lr,electrical_gain_075,0.11805729998741299
0.9987373737373737,0.9987373556209196,0.9987373556209197,333,303,lr,electrical_gain_050,0.11805729998741299
0.9797979797979798,0.9798667418384012,0.9798667418384012,333,303,lr,electrical_gain_025,0.11805729998741299
1.0,1.0,1.0,333,303,lr,vibration_drift_025rms,0.11805729998741299
